"District","Incumbent","Party","Biden","Trump","Margin"
"OR-02","Cliff Bentz","(R)","36.6","61.1","-24.4"
"OR-03","Earl Blumenauer","(D)","72.5","25.2","47.3"
"OR-04","Val Hoyle","(D)","55.1","42.3","12.7"
"OR-05","Lori Chavez-DeRemer","(R)","53.2","44.4","8.9"
"OR-06","Andrea Salinas","(D)","55.2","42.1","13.2"
"PA-01","Brian Fitzpatrick","(R)","51.8","47.2","4.6"
"PA-02","Brendan Boyle","(D)","71.0","28.3","42.7"
"PA-03","Dwight Evans","(D)","90.2","9.3","80.9"
"PA-04","Madeleine Dean","(D)","58.9","40.0","18.9"
"PA-05","Mary Gay Scanlon","(D)","65.7","33.4","32.3"
"PA-06","Chrissy Houlahan","(D)","56.8","42.0","14.7"
"PA-07","Susan Wild","(D)","49.7","49.1","0.6"
"PA-08","Matt Cartwright","(D)","48.0","50.9","-2.9"
"PA-09","Dan Meuser","(R)","31.0","67.5","-36.5"
"PA-10","Scott Perry","(R)","47.2","51.3","-4.1"
"PA-11","Lloyd Smucker","(R)","38.6","59.9","-21.3"
"PA-12","Summer Lee","(D)","59.4","39.5","19.9"
"PA-13","John Joyce","(R)","26.8","72.0","-45.2"
"PA-14","Guy Reschenthaler","(R)","33.7","65.2","-31.5"
"PA-15","Glenn Thompson","(R)","30.8","67.8","-37.0"
"PA-16","Mike Kelly","(R)","39.0","59.7","-20.6"
"PA-17","Chris Deluzio","(D)","52.3","46.5","5.8"
"RI-01","Gabe Amo","(D)","63.8","34.7","29.1"
"RI-02","Seth Magaziner","(D)","56.1","42.4","13.7"
"SC-01","Nancy Mace","(R)","44.9","53.5","-8.6"
"SC-02","Joe Wilson","(R)","43.9","54.5","-10.6"
"SC-03","Jeff Duncan","(R)","30.6","68.0","-37.5"
"SC-04","William Timmons","(R)","39.8","58.4","-18.5"
"SC-05","Ralph Norman","(R)","40.2","58.4","-18.2"
"SC-06","Jim Clyburn","(D)","65.3","33.2","32.1"
"SC-07","Russell Fry","(R)","40.2","58.8","-18.7"
"SD-AL","Dusty Johnson","(R)","35.6","61.8","-26.2"
"TN-01","Diana Harshbarger","(R)","22.0","76.3","-54.2"
"TN-02","Tim Burchett","(R)","34.4","63.7","-29.2"
"TN-03","Chuck Fleischmann","(R)","33.1","65.0","-31.9"
"TN-04","Scott DesJarlais","(R)","30.2","67.9","-37.7"
"TN-05","Andy Ogles","(R)","43.2","54.5","-11.3"
"TN-06","John Rose","(R)","34.5","63.6","-29.1"
"TN-07","Mark Green","(R)","41.3","56.4","-15.1"
"TN-08","David Kustoff","(R)","30.6","67.9","-37.3"
"TN-09","Steve Cohen","(D)","73.3","25.1","48.1"
"TX-01","Nathaniel Moran","(R)","26.5","72.4","-45.9"
"TX-02","Dan Crenshaw","(R)","37.9","60.7","-22.8"
"TX-03","Keith Self","(R)","42.0","56.4","-14.4"
"TX-04","Pat Fallon","(R)","36.4","62.4","-26.0"
"TX-05","Lance Gooden","(R)","38.2","60.6","-22.4"
"TX-06","Jake Ellzey","(R)","37.4","61.3","-24.0"
"TX-07","Lizzie Fletcher","(D)","64.2","34.5","29.7"
"TX-08","Morgan Luttrell","(R)","35.8","63.0","-27.2"
"TX-09","Al Green","(D)","76.2","22.8","53.4"
"TX-10","Michael McCaul","(R)","39.8","58.6","-18.8"
"TX-11","August Pfluger","(R)","29.1","69.5","-40.4"
