Calculated by The Downballot,,,Subscribe to our newsletter,,,,,,,Follow @the-downballot.com on Bluesky,,,,,
District,Incumbent,Party,2024,,,,,,,2020,,,,,
,,,Harris,Trump,Total,Harris %,Trump %,Margin,,Biden,Trump,Total,Biden %,Trump %,Margin
NJ-09,Nellie Pou,(D),"137,598","140,858","286,539",48.02%,49.16%,-1.14%,,"185,603","126,054","315,019",58.92%,40.01%,18.90%
NJ-10,LaMonica McIver,(D),"196,329","62,565","263,460",74.52%,23.75%,50.77%,,"234,076","53,928","290,354",80.62%,18.57%,62.04%
NJ-11,VACANT (Sherrill),(D),"219,563","183,688","411,672",53.33%,44.62%,8.71%,,"252,859","178,835","437,161",57.84%,40.91%,16.93%
NJ-12,Bonnie Watson Coleman,(D),"205,449","124,491","339,201",60.57%,36.70%,23.87%,,"236,355","114,094","355,052",66.57%,32.13%,34.43%
NM-01,Melanie Stansbury,(D),"194,851","150,029","353,920",55.06%,42.39%,12.66%,,"201,158","149,225","359,557",55.95%,41.50%,14.44%
NM-02,Gabe Vasquez,(D),"130,539","135,451","271,659",48.05%,49.86%,-1.81%,,"137,449","121,889","264,675",51.93%,46.05%,5.88%
NM-03,Teresa Leger Fernandez,(D),"153,411","137,911","297,824",51.51%,46.31%,5.20%,,"163,007","130,780","299,733",54.38%,43.63%,10.75%
NV-01,Dina Titus,(D),"168,452","160,877","335,276",50.24%,47.98%,2.26%,,"172,621","144,973","324,286",53.23%,44.71%,8.53%
NV-02,Mark Amodei,(R),"176,315","235,008","421,161",41.86%,55.80%,-13.94%,,"173,063","217,348","401,970",43.05%,54.07%,-11.02%
NV-03,Susie Lee,(D),"187,997","190,836","385,188",48.81%,49.54%,-0.74%,,"190,167","166,069","363,064",52.38%,45.74%,6.64%
NV-04,Steven Horsford,(D),"172,433","164,484","343,215",50.24%,47.92%,2.32%,,"167,635","141,501","316,056",53.04%,44.77%,8.27%
NY-01,Nick LaLota,(R),"190,070","233,206","429,463",44.26%,54.30%,-10.04%,,"207,858","215,362","428,299",48.53%,50.28%,-1.75%
NY-02,Andrew Garbarino,(R),"153,928","204,363","362,137",42.51%,56.43%,-13.93%,,"176,297","185,233","365,862",48.19%,50.63%,-2.44%
NY-03,Tom Suozzi,(D),"178,099","194,286","378,302",47.08%,51.36%,-4.28%,,"216,926","172,453","393,286",55.16%,43.85%,11.31%
NY-04,Laura Gillen,(D),"194,428","189,465","388,579",50.04%,48.76%,1.28%,,"223,909","166,538","394,485",56.76%,42.22%,14.54%
NY-05,Gregory Meeks,(D),"170,189","68,170","242,000",70.33%,28.17%,42.16%,,"216,607","49,624","267,734",80.90%,18.53%,62.37%
NY-06,Grace Meng,(D),"109,480","96,065","209,347",52.30%,45.89%,6.41%,,"149,718","81,324","232,973",64.26%,34.91%,29.36%
NY-07,Nydia Velazquez,(D),"168,187","60,343","235,013",71.56%,25.68%,45.89%,,"199,115","48,083","249,547",79.79%,19.27%,60.52%
NY-08,Hakeem Jeffries,(D),"170,067","64,988","238,931",71.18%,27.20%,43.98%,,"203,603","57,647","262,973",77.42%,21.92%,55.50%
NY-09,Yvette Clarke,(D),"173,762","71,900","250,858",69.27%,28.66%,40.61%,,"204,222","63,657","269,726",75.71%,23.60%,52.11%
NY-10,Dan Goldman,(D),"218,940","51,536","276,966",79.05%,18.61%,60.44%,,"242,638","40,374","285,858",84.88%,14.12%,70.76%
NY-11,Nicole Malliotakis,(R),"100,628","167,092","272,725",36.90%,61.27%,-24.37%,,"134,698","157,208","294,600",45.72%,53.36%,-7.64%
NY-12,Jerry Nadler,(D),"273,954","58,314","339,053",80.80%,17.20%,63.60%,,"291,127","47,209","341,717",85.20%,13.82%,71.38%
NY-13,Adriano Espaillat,(D),"188,808","46,800","239,540",78.82%,19.54%,59.28%,,"242,303","30,463","274,962",88.12%,11.08%,77.04%
NY-14,Alexandria Ocasio-Cortez,(D),"131,879","67,385","203,123",64.93%,33.17%,31.75%,,"178,061","50,782","230,638",77.20%,22.02%,55.19%
NY-15,Ritchie Torres,(D),"137,445","47,283","186,840",73.56%,25.31%,48.26%,,"184,830","31,368","217,537",84.96%,14.42%,70.55%
NY-16,George Latimer,(D),"216,167","108,141","326,298",66.25%,33.14%,33.11%,,"240,156","91,069","334,406",71.82%,27.23%,44.58%
NY-17,Mike Lawler,(R),"194,302","192,139","389,343",49.91%,49.35%,0.56%,,"210,419","171,537","386,305",54.47%,44.40%,10.07%
NY-18,Pat Ryan,(D),"190,672","178,297","371,412",51.34%,48.01%,3.33%,,"196,151","163,003","364,815",53.77%,44.68%,9.09%
